    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     4.0600E-3       13.3500     340.780     -273.98       185.350       70.5410       2.18740
     4.0600E-3       13.2000     340.780     -274.19       185.530       70.5440       2.18880
     4.0600E-3       13.0500     340.790     -274.39       185.710       70.5470       2.19020
     4.0600E-3       12.9000     340.800     -274.59       185.890       70.5500       2.19160
     4.0600E-3       12.7500     340.810     -274.79       186.060       70.5530       2.19300
     4.0600E-3       12.6000     340.810     -274.99       186.240       70.5550       2.19440
     4.0600E-3       12.4500     340.820     -275.19       186.410       70.5580       2.19580
     4.0600E-3       12.3000     340.830     -275.39       186.580       70.5600       2.19710
     4.0600E-3       12.1500     340.830     -275.58       186.750       70.5620       2.19850
     4.0600E-3       12.0000     340.840     -275.77       186.920       70.5650       2.19990
     4.0600E-3       11.8500     340.840     -275.96       187.080       70.5660       2.20120
     4.0600E-3       11.7000     340.850     -276.15       187.250       70.5680       2.20260
     4.0600E-3       11.5500     340.860     -276.34       187.410       70.5700       2.20390
     4.0600E-3       11.4000     340.860     -276.52       187.570       70.5710       2.20520
     4.0600E-3       11.2500     340.870     -276.70       187.730       70.5730       2.20660
     4.0600E-3       11.1000     340.880     -276.88       187.890       70.5740       2.20790
     4.0600E-3       10.9500     340.880     -277.06       188.050       70.5750       2.20920
     4.0600E-3       10.8000     340.890     -277.24       188.210       70.5760       2.21050
     4.0600E-3       10.6500     340.890     -277.41       188.360       70.5770       2.21190
     4.0600E-3       10.5000     340.900     -277.58       188.510       70.5780       2.21320
     4.0600E-3       10.3500     340.900     -277.75       188.660       70.5780       2.21450
     4.0600E-3       10.2000     340.910     -277.92       188.820       70.5790       2.21580
     4.0600E-3       10.0500     340.910     -278.09       188.960       70.5790       2.21700
     4.0600E-3        9.90000    340.920     -278.25       189.110       70.5790       2.21830
     4.0600E-3        9.75000    340.920     -278.41       189.260       70.5790       2.21960
     4.0600E-3        9.60000    340.930     -278.57       189.400       70.5790       2.22090
     4.0600E-3        9.45000    340.930     -278.73       189.540       70.5790       2.22210
     4.0600E-3        9.30000    340.940     -278.89       189.690       70.5790       2.22340
     4.0600E-3        9.15000    340.940     -279.04       189.830       70.5780       2.22470
     4.0600E-3        9.00000    340.950     -279.20       189.960       70.5780       2.22590
     4.0600E-3        8.85000    340.950     -279.35       190.100       70.5770       2.22720
     4.0600E-3        8.70000    340.960     -279.50       190.240       70.5760       2.22840
     4.0600E-3        8.55000    340.960     -279.64       190.370       70.5750       2.22960
     4.0600E-3        8.40000    340.970     -279.79       190.500       70.5740       2.23090
     4.0600E-3        8.25000    340.970     -279.93       190.640       70.5730       2.23210
     4.0600E-3        8.10000    340.970     -280.07       190.760       70.5710       2.23330
     4.0600E-3        7.95000    340.980     -280.21       190.890       70.5700       2.23450
     4.0600E-3        7.80000    340.980     -280.35       191.020       70.5680       2.23570
     4.0600E-3        7.65000    340.990     -280.49       191.140       70.5660       2.23690
     4.0600E-3        7.50000    340.990     -280.62       191.270       70.5640       2.23810
     4.0600E-3        7.35000    340.990     -280.75       191.390       70.5620       2.23930
     4.0600E-3        7.20000    341.000     -280.88       191.510       70.5600       2.24050
     4.0600E-3        7.05000    341.000     -281.01       191.630       70.5580       2.24170
     4.0600E-3        6.90000    341.000     -281.13       191.750       70.5560       2.24290
     4.0600E-3        6.75000    341.010     -281.26       191.870       70.5530       2.24400
     4.0600E-3        6.60000    341.010     -281.38       191.980       70.5500       2.24520
     4.0600E-3        6.45000    341.010     -281.50       192.090       70.5470       2.24640
     4.0600E-3        6.30000    341.020     -281.61       192.200       70.5450       2.24750
     4.0600E-3        6.15000    341.020     -281.73       192.320       70.5410       2.24870
     4.0600E-3        6.00000    341.020     -281.84       192.420       70.5380       2.24980
     4.0600E-3        5.85000    341.030     -281.95       192.530       70.5350       2.25100
     4.0600E-3        5.70000    341.030     -282.06       192.640       70.5310       2.25210
     4.0600E-3        5.55000    341.030     -282.17       192.740       70.5280       2.25320
     4.0600E-3        5.40000    341.030     -282.28       192.840       70.5240       2.25440
     4.0600E-3        5.25000    341.030     -282.38       192.950       70.5200       2.25550
     4.0600E-3        5.10000    341.040     -282.48       193.050       70.5160       2.25660
     4.0600E-3        4.95000    341.040     -282.58       193.140       70.5120       2.25770
     4.0600E-3        4.80000    341.040     -282.68       193.240       70.5080       2.25880
     4.0600E-3        4.65000    341.040     -282.78       193.340       70.5040       2.25990
     4.0600E-3        4.50000    341.050     -282.87       193.430       70.4990       2.26100
     4.0600E-3        4.35000    341.050     -282.96       193.520       70.4950       2.26210
     4.0600E-3        4.20000    341.050     -283.05       193.610       70.4900       2.26320
     4.0600E-3        4.05000    341.050     -283.14       193.700       70.4850       2.26430
     4.0600E-3        3.90000    341.050     -283.23       193.790       70.4800       2.26540
     4.0600E-3        3.75000    341.050     -283.31       193.880       70.4750       2.26640
     4.0600E-3        3.60000    341.050     -283.39       193.960       70.4700       2.26750
     4.0600E-3        3.45000    341.060     -283.47       194.050       70.4640       2.26860
     4.0600E-3        3.30000    341.060     -283.55       194.130       70.4590       2.26960
     4.0600E-3        3.15000    341.060     -283.63       194.210       70.4530       2.27070
     4.0600E-3        3.00000    341.060     -283.70       194.290       70.4470       2.27170
     4.0600E-3        2.85000    341.060     -283.77       194.360       70.4420       2.27280
     4.0600E-3        2.70000    341.060     -283.84       194.440       70.4360       2.27380
     4.0600E-3        2.55000    341.060     -283.91       194.510       70.4290       2.27480
     4.0600E-3        2.40000    341.060     -283.98       194.590       70.4230       2.27580
     4.0600E-3        2.25000    341.060     -284.04       194.660       70.4170       2.27690
     4.0600E-3        2.10000    341.060     -284.10       194.730       70.4100       2.27790
     4.0600E-3        1.95000    341.060     -284.16       194.800       70.4040       2.27890
     4.0600E-3        1.80000    341.060     -284.22       194.860       70.3970       2.27990
     4.0600E-3        1.65000    341.060     -284.28       194.930       70.3900       2.28090
     4.0600E-3        1.50000    341.060     -284.33       194.990       70.3830       2.28190
     4.0600E-3        1.35000    341.060     -284.39       195.050       70.3760       2.28290
     4.0600E-3        1.20000    341.060     -284.44       195.110       70.3690       2.28390
     4.0600E-3        1.05000    341.060     -284.49       195.170       70.3610       2.28480
     4.0600E-3        0.90000    341.060     -284.53       195.230       70.3540       2.28580
     4.0600E-3        0.75000    341.060     -284.58       195.290       70.3460       2.28680
     4.0600E-3        0.60000    341.060     -284.62       195.340       70.3390       2.28780
     4.0600E-3        0.45000    341.060     -284.66       195.390       70.3310       2.28870
     4.0600E-3        0.30000    341.060     -284.70       195.450       70.3230       2.28970
     4.0600E-3        0.15000    341.060     -284.73       195.500       70.3150       2.29060
     4.0600E-3   -1.1102E-15     341.060     -284.77       195.540       70.3070       2.29160
     4.0600E-3       -0.1500     341.060     -284.80       195.590       70.2980       2.29250
     4.0600E-3       -0.3000     341.060     -284.83       195.640       70.2900       2.29340
     4.0600E-3       -0.4500     341.050     -284.86       195.680       70.2810       2.29440
     4.0600E-3       -0.6000     341.050     -284.89       195.720       70.2720       2.29530
     4.0600E-3       -0.7500     341.050     -284.91       195.760       70.2640       2.29620
     4.0600E-3       -0.9000     341.050     -284.93       195.800       70.2550       2.29710
     4.0600E-3       -1.0500     341.050     -284.95       195.840       70.2460       2.29800
     4.0600E-3       -1.2000     341.050     -284.97       195.880       70.2360       2.29890
     4.0600E-3       -1.3500     341.050     -284.99       195.910       70.2270       2.29980
     4.0600E-3       -1.5000     341.040     -285.00       195.950       70.2180       2.30070
     4.0600E-3       -1.6500     341.040     -285.02       195.980       70.2080       2.30160
     4.0600E-3       -1.8000     341.040     -285.03       196.010       70.1990       2.30250
     4.0600E-3       -1.9500     341.040     -285.04       196.040       70.1890       2.30340
     4.0600E-3       -2.1000     341.040     -285.04       196.060       70.1790       2.30420
     4.0600E-3       -2.2500     341.030     -285.05       196.090       70.1690       2.30510
     4.0600E-3       -2.4000     341.030     -285.05       196.110       70.1590       2.30600
     4.0600E-3       -2.5500     341.030     -285.05       196.140       70.1480       2.30680
     4.0600E-3       -2.7000     341.030     -285.05       196.160       70.1380       2.30770
     4.0600E-3       -2.8500     341.020     -285.05       196.180       70.1280       2.30850
     4.0600E-3       -3.0000     341.020     -285.04       196.190       70.1170       2.30940
     4.0600E-3       -3.1500     341.020     -285.03       196.210       70.1060       2.31020
     4.0600E-3       -3.3000     341.020     -285.03       196.230       70.0950       2.31100
     4.0600E-3       -3.4500     341.010     -285.01       196.240       70.0840       2.31190
     4.0600E-3       -3.6000     341.010     -285.00       196.250       70.0730       2.31270
     4.0600E-3       -3.7500     341.010     -284.99       196.260       70.0620       2.31350
     4.0600E-3       -3.9000     341.000     -284.97       196.270       70.0510       2.31430
     4.0600E-3       -4.0500     341.000     -284.95       196.280       70.0390       2.31510
     4.0600E-3       -4.2000     341.000     -284.93       196.280       70.0280       2.31590
     4.0600E-3       -4.3500     340.990     -284.91       196.290       70.0160       2.31670
     4.0600E-3       -4.5000     340.990     -284.88       196.290       70.0040       2.31750
     4.0600E-3       -4.6500     340.990     -284.85       196.290       69.9920       2.31830
     4.0600E-3       -4.8000     340.980     -284.82       196.290       69.9800       2.31910
     4.0600E-3       -4.9500     340.980     -284.79       196.290       69.9680       2.31980
     4.0600E-3       -5.1000     340.970     -284.76       196.290       69.9560       2.32060
     4.0600E-3       -5.2500     340.970     -284.73       196.280       69.9440       2.32140
     4.0600E-3       -5.4000     340.970     -284.69       196.270       69.9310       2.32210
     4.0600E-3       -5.5500     340.960     -284.65       196.270       69.9190       2.32290
     4.0600E-3       -5.7000     340.960     -284.61       196.260       69.9060       2.32360
     4.0600E-3       -5.8500     340.950     -284.57       196.250       69.8930       2.32440
     4.0600E-3       -6.0000     340.950     -284.52       196.230       69.8800       2.32510
