% Model:              V2_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 11:24
% Dimension:          1
% Nodes:              668
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc (mm)     T-293
67.28174800302966         -12.253121797545901
67.51931153582348         -12.253173754006596
68.02099824057561         -12.253283475668205
68.2641956890316          -12.253336664297468
68.5343670008301          -12.253395752260063
68.8810413947891          -12.25347157187056
68.88853273072942         -12.25347321026723
68.9508452980415          -12.253486838370907
69.11456046751842         -12.253851380135316
69.13862557403012         -12.253904965495895
69.14308731158367         -12.253914900370502
69.14706085052467         -12.253923748181618
69.33055339702803         -12.254332327892781
69.37724934309857         -12.254358599961016
69.71327309330606         -12.254547653607776
70.29765693705123         -12.254876439584066
70.421422660345           -12.254946072642198
70.4992761952441          -12.25498987458976
71.05974897023421         -12.25550012024893
71.23931164323399         -12.255663591301472
71.25005191620124         -12.255673369078206
71.26616683140877         -12.25568803984528
71.81603207765761         -12.256411726343337
72.20739418974281         -12.256926804316166
72.25330012553407         -12.256987221856898
72.30926940852392         -12.2570608839308
72.90820623258594         -12.257849154321994
72.99431277988307         -12.257962480534367
73.26050960011699         -12.25831282645265
73.40778896339944         -12.258544242670595
73.4346212343219          -12.258586403517281
73.51100634760793         -12.258706425451312
73.76510485619558         -12.25910568380314
74.0597521332011          -12.259568655376023
74.20530053258067         -12.259797351775571
74.65609515258008         -12.260505673591371
74.76568588016713         -12.260677870640128
74.85899466628521         -12.260824484299388
74.95079847734122         -12.260968733230625
74.9759798308394          -12.261008300033868
75.022741464771           -12.261081775368279
75.70618674075118         -12.262162220855902
76.02858717166895         -12.262671897494306
76.21249496752583         -12.262962633790485
76.26750110443878         -12.263034031045004
76.77783263659177         -12.26401512447134
77.00870714683705         -12.264458972146901
77.27529082932517         -12.265175692883236
77.50383918114206         -12.266160345464534
77.79615137538325         -12.267419711171254
78.52305913504904         -12.270551440611605
78.62647537524045         -12.270996987766264
79.04524160191579         -12.272801154117845
79.18820893054266         -12.273417098831754
79.96802790614737         -12.276776785135207
79.97765992115575         -12.276818282649257
80.5208208629137          -12.279158377509347
80.58618702357182         -12.27944033314076
80.59121245945656         -12.279462010258305
81.36274558495342         -12.282790003020366
81.42191491334803         -12.283045228739295
82.11688774681637         -12.286042980207348
82.64979781475492         -12.287799413627537
82.73163303905015         -12.28806913666628
82.77047884179974         -12.288287743764709
82.8105588508476          -12.288513296433543
82.86695416884916         -12.28885482940338
83.25941434271783         -12.291231588564854
83.34513503323544         -12.291750717511126
83.7110482903493          -12.293966707168288
83.78350517212337         -12.294405509801098
83.7994891224201          -12.29450230943284
84.15218904671744         -12.296638278461373
84.1933244561697          -12.296887396633831
84.74311733236006         -12.300216970798054
84.75645149339914         -12.300297723168663
84.75732446118917         -12.300303009906862
84.9758835961336          -12.301626615360066
85.04614338102613         -12.302049737752366
85.04883741264271         -12.302065961899713
85.73272999645089         -12.306184537932658
85.77151111651294         -12.306418087755247
85.95416333319343         -12.307518066114133
86.10692862393866         -12.30818985149265
86.94039411674645         -12.311826342867286
87.01008543089023         -12.31223667282737
87.20055673609491         -12.3133581337156
87.20661192100432         -12.313393785558482
87.54313111792955         -12.315661041712714
87.57336038597155         -12.315864707639154
87.70551159302995         -12.316755059928798
88.33786372088458         -12.321015453590205
88.34739303313823         -12.321079656144025
88.85569021018104         -12.324504245033285
89.14661474620327         -12.326464312841395
89.46911552076487         -12.328637121621815
89.49569237846625         -12.328816179888724
90.13802003439056         -12.333143782427376
90.55623542260997         -12.335961456489931
90.60036732064515         -12.336258789653481
90.64399172379424         -12.33655270363348
91.15137462006973         -12.339463545739767
91.17128171673124         -12.339577752220912
91.39622012762483         -12.341122476274874
91.54942160681698         -12.342484911728068
91.75972873095527         -12.344297462508056
92.10968519737513         -12.347313593648504
92.57359734332627         -12.351311862016424
92.57880805306513         -12.351356770984868
92.75169897937128         -12.352846846913646
93.01787859111757         -12.35514093973083
93.0260020365931          -12.355210952373024
93.3898854529871          -12.358674710079967
93.81887529397511         -12.362758207158894
93.93393319178048         -12.363853427942017
94.25763893078981         -12.366934739696704
94.63004707653117         -12.37047964316529
94.914796483822           -12.373190134794218
94.9849984718491          -12.37383107357104
95.04949592932883         -12.374419930420634
95.23415367620504         -12.376105841514303
95.53160988461042         -12.378821593927174
95.83346576223668         -12.381577514983245
96.05636480424404         -12.383612566174163
96.07822129737181         -12.383812114283337
96.09830175770892         -12.383995447349081
96.31940942344062         -12.386014143411717
97.15636004290143         -12.395651911820021
97.30141386305792         -12.397049202553813
97.35265316682579         -12.397542786275244
97.4336274034173          -12.398322803997928
