% Model:              H_FullGeometrie_TaRIX.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 3 2025, 13:40
% Dimension:          1
% Nodes:              638
% Expressions:        1
% Description:        Graphique sur ligne
% Longueur d'arc inversée (mm) T-293
10.88553475998954         -11.477165899934482
10.955345629182261        -11.47428376666551
11.050853369870808        -11.470340741172969
11.643918153114427        -11.445856133515006
11.838462291164092        -11.437824402367099
11.95565000317238         -11.432986321887652
11.969374377533484        -11.432419712756444
11.97465322187496         -11.432201776307947
11.97778379065214         -11.432072531155612
12.79138982233863         -11.39848290479971
13.098031085454139        -11.386507952185882
13.128544510133722        -11.385316342123652
13.540014833750547        -11.369247605720577
13.668213120466973        -11.364241207061097
13.790084961133715        -11.359481868731622
13.84722716435553         -11.357250351782863
14.19183042644957         -11.343792907431702
14.389191497506502        -11.336085564167757
14.545036418595302        -11.329999509322487
14.802084165852804        -11.319961282367554
14.909069816202262        -11.315783279445581
14.991888007876014        -11.313459771329315
15.227318504725062        -11.307707815440889
15.551648191167871        -11.299783905519728
15.607527817892958        -11.298418673944864
15.687560622154294        -11.296463340350027
15.769979594176334        -11.294449708735666
15.87503470951006         -11.293279111660267
15.959691752958065        -11.29233580407208
16.10341769785957         -11.29073430974954
16.48073533724032         -11.286529974494158
16.882812882661668        -11.282049747165306
16.974450516432256        -11.281028656990426
17.08079839810769         -11.279843655014378
17.191491080304303        -11.278610240252654
17.383218353685493        -11.276473881782312
17.6021528972895          -11.274624195366405
18.103965267256214        -11.270384592475136
18.385933048827823        -11.268002364587694
18.502362532644895        -11.267018700561538
18.854828450260484        -11.264878436317735
19.217112002723454        -11.265334872404253
19.258984862180114        -11.265387627446463
19.298998239684323        -11.265438039752825
19.33792906568587         -11.265487088167372
19.384911470556702        -11.265546280655876
19.620652977475416        -11.266390590127108
19.79168294745233         -11.267003134881756
20.05893414698376         -11.267960296486057
20.209964433314894        -11.268501212266479
20.341596693712304        -11.26897265391299
20.34954751860124         -11.269001129834965
20.40292968801188         -11.26919231836098
20.522270405446022        -11.269619737780454
20.70404487791957         -11.270372741890707
21.214592347686988        -11.272487694215872
21.246172800023416        -11.272618516823082
21.350014431755568        -11.273048682700862
21.670554048836223        -11.274376523986142
21.724889546648583        -11.2746016097896
22.10039098982088         -11.27615713145481
22.374964108434185        -11.281988349906438
22.511922680933694        -11.284896993546072
22.603940415735465        -11.28685121075336
22.93449821122678         -11.293871398039482
23.192438864179067        -11.299349386207144
23.527778233851606        -11.304808631726237
23.586031704497813        -11.305756984432056
23.645467626581578        -11.307168326348451
23.810392662713483        -11.311084571077135
24.04454784171392         -11.31664472741823
24.061083427818687        -11.31703737491092
24.29162661107543         -11.32251176222858
24.379082483410187        -11.32458845480999
24.574603012604797        -11.329231208025437
24.601002358979898        -11.329858076471293
24.699624241605363        -11.3321999127202
24.937785595569338        -11.33785519810874
24.963826384197702        -11.33823054969344
25.185627681074763        -11.343583907348876
25.613696405649733        -11.353915699885805
25.70725982278249         -11.356173930303882
25.710054008347214        -11.35624137028234
26.20725888213471         -11.368241820932932
26.218313771715373        -11.368626371943437
26.521249073548816        -11.379164159371175
26.569760836518128        -11.380851670344052
26.70146535834283         -11.385433091676786
26.968991985478027        -11.394739166970567
27.120470250692904        -11.4000084299092
27.601770870631384        -11.416750762648388
27.933387484905666        -11.428286246851034
28.144139552006408        -11.435617384785836
28.176334211087806        -11.43673729544549
28.63378090474464         -11.45264985495275
29.08355491046801         -11.463663431206456
29.091858442845506        -11.46386675906856
29.467672467919357        -11.47306928382478
29.62404214181649         -11.476368267668086
29.644096428299775        -11.476791359725826
29.934027486122034        -11.482908133212575
30.062204694336742        -11.485612331081898
30.407128791572504        -11.492889311301798
30.530842219762604        -11.495499335295744
30.720342082345468        -11.499497277923524
30.88566463892444         -11.50295479489221
30.896549654992953        -11.503182441551807
31.164782117221918        -11.508792192023257
31.717068287085368        -11.520342574762246
31.89918376355395         -11.52415129489809
32.46948307866131         -11.536078400309588
32.52357932293762         -11.537209756407618
32.713794491825226        -11.541187871600968
32.84405087072753         -11.543912022797599
32.91302801385061         -11.545354594505504
