    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT     RPN:COP   
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.4950E-4       17.7000     337.110      -17.175       -8.2040     -58.782       -0.38237
     1.4950E-4       17.4000     337.110      -17.193       -8.1864     -58.783       -0.38153
     1.4950E-4       17.1000     337.110      -17.211       -8.1690     -58.783       -0.38071
     1.4950E-4       16.8000     337.110      -17.229       -8.1519     -58.783       -0.37989
     1.4950E-4       16.5000     337.110      -17.247       -8.1349     -58.783       -0.37909
     1.4950E-4       16.2000     337.110      -17.265       -8.1181     -58.783       -0.37829
     1.4950E-4       15.9000     337.110      -17.282       -8.1015     -58.783       -0.37751
     1.4950E-4       15.6000     337.110      -17.299       -8.0851     -58.782       -0.37673
     1.4950E-4       15.3000     337.110      -17.316       -8.0688     -58.782       -0.37596
     1.4950E-4       15.0000     337.100      -17.332       -8.0528     -58.781       -0.37521
     1.4950E-4       14.7000     337.100      -17.349       -8.0370     -58.780       -0.37446
     1.4950E-4       14.4000     337.100      -17.365       -8.0214     -58.780       -0.37372
     1.4950E-4       14.1000     337.100      -17.381       -8.0059     -58.778       -0.3730 
     1.4950E-4       13.8000     337.100      -17.396       -7.9907     -58.777       -0.37228
     1.4950E-4       13.5000     337.100      -17.412       -7.9757     -58.776       -0.37157
     1.4950E-4       13.2000     337.090      -17.427       -7.9608     -58.775       -0.37088
     1.4950E-4       12.9000     337.090      -17.442       -7.9462     -58.773       -0.37019
     1.4950E-4       12.6000     337.090      -17.456       -7.9318     -58.771       -0.36951
     1.4950E-4       12.3000     337.090      -17.471       -7.9175     -58.769       -0.36884
     1.4950E-4       12.0000     337.080      -17.485       -7.9035     -58.768       -0.36819
     1.4950E-4       11.7000     337.080      -17.499       -7.8897     -58.765       -0.36754
     1.4950E-4       11.4000     337.080      -17.513       -7.8760     -58.763       -0.3669 
     1.4950E-4       11.1000     337.080      -17.526       -7.8626     -58.761       -0.36627
     1.4950E-4       10.8000     337.070      -17.540       -7.8494     -58.758       -0.36566
     1.4950E-4       10.5000     337.070      -17.553       -7.8363     -58.756       -0.36505
     1.4950E-4       10.2000     337.070      -17.565       -7.8235     -58.753       -0.36445
     1.4950E-4        9.90000    337.060      -17.578       -7.8109     -58.750       -0.36387
     1.4950E-4        9.60000    337.060      -17.590       -7.7985     -58.747       -0.36329
     1.4950E-4        9.30000    337.060      -17.602       -7.7863     -58.744       -0.36272
     1.4950E-4        9.00000    337.050      -17.614       -7.7743     -58.741       -0.36217
     1.4950E-4        8.70000    337.050      -17.626       -7.7625     -58.738       -0.36162
     1.4950E-4        8.40000    337.040      -17.637       -7.7509     -58.734       -0.36108
     1.4950E-4        8.10000    337.040      -17.648       -7.7395     -58.731       -0.36056
     1.4950E-4        7.80000    337.040      -17.659       -7.7283     -58.727       -0.36004
     1.4950E-4        7.50000    337.030      -17.670       -7.7173     -58.723       -0.35954
     1.4950E-4        7.20000    337.030      -17.680       -7.7065     -58.719       -0.35904
     1.4950E-4        6.90000    337.020      -17.690       -7.6960     -58.715       -0.35856
     1.4950E-4        6.60000    337.020      -17.700       -7.6856     -58.711       -0.35808
     1.4950E-4        6.30000    337.010      -17.709       -7.6755     -58.707       -0.35762
     1.4950E-4        6.00000    337.010      -17.719       -7.6656     -58.702       -0.35716
     1.4950E-4        5.70000    337.000      -17.728       -7.6558     -58.698       -0.35672
     1.4950E-4        5.40000    337.000      -17.737       -7.6463     -58.693       -0.35628
     1.4950E-4        5.10000    336.990      -17.745       -7.6370     -58.688       -0.35586
     1.4950E-4        4.80000    336.990      -17.754       -7.6279     -58.684       -0.35545
     1.4950E-4        4.50000    336.980      -17.762       -7.6190     -58.679       -0.35505
     1.4950E-4        4.20000    336.980      -17.770       -7.6103     -58.673       -0.35465
     1.4950E-4        3.90000    336.970      -17.777       -7.6019     -58.668       -0.35427
     1.4950E-4        3.60000    336.970      -17.785       -7.5936     -58.663       -0.3539 
     1.4950E-4        3.30000    336.960      -17.792       -7.5856     -58.657       -0.35354
     1.4950E-4        3.00000    336.950      -17.799       -7.5777     -58.652       -0.35319
     1.4950E-4        2.70000    336.950      -17.806       -7.5701     -58.646       -0.35285
     1.4950E-4        2.40000    336.940      -17.812       -7.5627     -58.640       -0.35252
     1.4950E-4        2.10000    336.940      -17.818       -7.5555     -58.634       -0.3522 
     1.4950E-4        1.80000    336.930      -17.824       -7.5485     -58.628       -0.3519 
     1.4950E-4        1.50000    336.920      -17.830       -7.5418     -58.622       -0.3516 
     1.4950E-4        1.20000    336.920      -17.835       -7.5352     -58.616       -0.35131
     1.4950E-4        0.90000    336.910      -17.840       -7.5289     -58.609       -0.35103
     1.4950E-4        0.60000    336.900      -17.845       -7.5228     -58.603       -0.35077
     1.4950E-4        0.30000    336.900      -17.850       -7.5168     -58.596       -0.35051
     1.4950E-4   -2.2204E-15     336.890      -17.854       -7.5111     -58.590       -0.35027
     1.4950E-4       -0.3000     336.880      -17.858       -7.5057     -58.583       -0.35003
     1.4950E-4       -0.6000     336.880      -17.862       -7.5004     -58.576       -0.34981
     1.4950E-4       -0.9000     336.870      -17.866       -7.4953     -58.569       -0.3496 
     1.4950E-4       -1.2000     336.860      -17.869       -7.4905     -58.562       -0.3494 
     1.4950E-4       -1.5000     336.850      -17.872       -7.4859     -58.554       -0.3492 
     1.4950E-4       -1.8000     336.850      -17.875       -7.4815     -58.547       -0.34902
     1.4950E-4       -2.1000     336.840      -17.878       -7.4773     -58.539       -0.34885
     1.4950E-4       -2.4000     336.830      -17.880       -7.4733     -58.532       -0.34869
     1.4950E-4       -2.7000     336.820      -17.882       -7.4696     -58.524       -0.34854
     1.4950E-4       -3.0000     336.810      -17.884       -7.4660     -58.516       -0.3484 
     1.4950E-4       -3.3000     336.810      -17.885       -7.4627     -58.508       -0.34828
     1.4950E-4       -3.6000     336.800      -17.887       -7.4596     -58.500       -0.34816
     1.4950E-4       -3.9000     336.790      -17.888       -7.4567     -58.492       -0.34805
     1.4950E-4       -4.2000     336.780      -17.889       -7.4540     -58.484       -0.34796
     1.4950E-4       -4.5000     336.770      -17.889       -7.4516     -58.476       -0.34787
     1.4950E-4       -4.8000     336.760      -17.890       -7.4493     -58.467       -0.3478 
     1.4950E-4       -5.1000     336.760      -17.890       -7.4473     -58.459       -0.34773
     1.4950E-4       -5.4000     336.750      -17.889       -7.4455     -58.450       -0.34768
     1.4950E-4       -5.7000     336.740      -17.889       -7.4439     -58.441       -0.34764
     1.4950E-4       -6.0000     336.730      -17.888       -7.4426     -58.432       -0.34761
     1.4950E-4       -6.3000     336.720      -17.887       -7.4414     -58.423       -0.34759
     1.4950E-4       -6.6000     336.710      -17.886       -7.4405     -58.414       -0.34758
     1.4950E-4       -6.9000     336.700      -17.885       -7.4398     -58.405       -0.34758
     1.4950E-4       -7.2000     336.690      -17.883       -7.4393     -58.396       -0.34759
     1.4950E-4       -7.5000     336.680      -17.881       -7.4390     -58.387       -0.34761
     1.4950E-4       -7.8000     336.670      -17.879       -7.4389     -58.377       -0.34765
     1.4950E-4       -8.1000     336.660      -17.876       -7.4391     -58.368       -0.34769
     1.4950E-4       -8.4000     336.650      -17.874       -7.4395     -58.358       -0.34775
     1.4950E-4       -8.7000     336.640      -17.871       -7.4401     -58.348       -0.34781
     1.4950E-4       -9.0000     336.630      -17.867       -7.4409     -58.338       -0.34789
     1.4950E-4       -9.3000     336.620      -17.864       -7.4419     -58.328       -0.34798
     1.4950E-4       -9.6000     336.610      -17.860       -7.4432     -58.318       -0.34807
     1.4950E-4       -9.9000     336.600      -17.856       -7.4447     -58.308       -0.34818
     1.4950E-4      -10.200      336.590      -17.852       -7.4464     -58.298       -0.3483 
     1.4950E-4      -10.500      336.580      -17.847       -7.4483     -58.287       -0.34843
     1.4950E-4      -10.800      336.570      -17.843       -7.4504     -58.277       -0.34858
     1.4950E-4      -11.100      336.560      -17.838       -7.4527     -58.266       -0.34873
     1.4950E-4      -11.400      336.550      -17.832       -7.4553     -58.256       -0.34889
     1.4950E-4      -11.700      336.540      -17.827       -7.4581     -58.245       -0.34906
