    BEGIN:|U|  BEGIN:Ph(U)  BEGIN:TBeg  HX:HeatIn   HX:HeatIn     RPN:dT    RPN:ChngeM 
      m^3/s        deg          K           W           W           _           _      
         0f          0g          0c          1e         13e          9A         16A    
     1.0000E-4       12.6000     336.050      -14.458      -10.428      -57.631       -0.49731
     1.0000E-4       12.7500     336.050      -14.453      -10.433      -57.632       -0.49754
     1.0000E-4       12.9000     336.050      -14.448      -10.438      -57.632       -0.49777
     1.0000E-4       13.0500     336.050      -14.443      -10.442      -57.632       -0.4980 
     1.0000E-4       13.2000     336.050      -14.438      -10.447      -57.632       -0.49823
     1.0000E-4       13.3500     336.050      -14.433      -10.452      -57.633       -0.49847
     1.0000E-4       13.5000     336.050      -14.428      -10.457      -57.633       -0.4987 
     1.0000E-4       13.6500     336.050      -14.423      -10.462      -57.633       -0.49894
     1.0000E-4       13.8000     336.050      -14.418      -10.467      -57.633       -0.49918
     1.0000E-4       13.9500     336.050      -14.413      -10.472      -57.633       -0.49942
     1.0000E-4       14.1000     336.050      -14.408      -10.477      -57.633       -0.49966
     1.0000E-4       14.2500     336.050      -14.403      -10.482      -57.633       -0.49991
     1.0000E-4       14.4000     336.050      -14.398      -10.487      -57.633       -0.50015
     1.0000E-4       14.5500     336.050      -14.392      -10.492      -57.633       -0.5004 
     1.0000E-4       14.7000     336.050      -14.387      -10.497      -57.633       -0.50065
     1.0000E-4       14.8500     336.050      -14.382      -10.503      -57.633       -0.5009 
     1.0000E-4       15.0000     336.050      -14.377      -10.508      -57.633       -0.50115
     1.4950E-4       15.0000     337.100      -17.332       -8.0528     -58.781       -0.37521
     1.4950E-4       14.8500     337.100      -17.340       -8.0449     -58.781       -0.37483
     1.4950E-4       14.7000     337.100      -17.349       -8.0370     -58.780       -0.37446
     1.4950E-4       14.5500     337.100      -17.357       -8.0292     -58.780       -0.37409
     1.4950E-4       14.4000     337.100      -17.365       -8.0214     -58.780       -0.37372
     1.4950E-4       14.2500     337.100      -17.373       -8.0136     -58.779       -0.37336
     1.4950E-4       14.1000     337.100      -17.381       -8.0059     -58.778       -0.3730 
     1.4950E-4       13.9500     337.100      -17.388       -7.9983     -58.778       -0.37264
     1.4950E-4       13.8000     337.100      -17.396       -7.9907     -58.777       -0.37228
     1.4950E-4       13.6500     337.100      -17.404       -7.9832     -58.777       -0.37193
     1.4950E-4       13.5000     337.100      -17.412       -7.9757     -58.776       -0.37157
     1.4950E-4       13.3500     337.090      -17.419       -7.9682     -58.775       -0.37122
     1.4950E-4       13.2000     337.090      -17.427       -7.9608     -58.775       -0.37088
     1.4950E-4       13.0500     337.090      -17.434       -7.9535     -58.774       -0.37053
     1.4950E-4       12.9000     337.090      -17.442       -7.9462     -58.773       -0.37019
     1.4950E-4       12.7500     337.090      -17.449       -7.9390     -58.772       -0.36985
     1.4950E-4       12.6000     337.090      -17.456       -7.9318     -58.771       -0.36951
     1.4950E-4       12.4500     337.090      -17.464       -7.9246     -58.770       -0.36918
     1.4950E-4       12.3000     337.090      -17.471       -7.9175     -58.769       -0.36884
     1.4950E-4       12.1500     337.090      -17.478       -7.9105     -58.769       -0.36851
     1.4950E-4       12.0000     337.080      -17.485       -7.9035     -58.768       -0.36819
     1.4950E-4       11.8500     337.080      -17.492       -7.8965     -58.767       -0.36786
     1.4950E-4       11.7000     337.080      -17.499       -7.8897     -58.765       -0.36754
     1.4950E-4       11.5500     337.080      -17.506       -7.8828     -58.764       -0.36722
     1.4950E-4       11.4000     337.080      -17.513       -7.8760     -58.763       -0.3669 
     1.4950E-4       11.2500     337.080      -17.520       -7.8693     -58.762       -0.36659
     1.4950E-4       11.1000     337.080      -17.526       -7.8626     -58.761       -0.36627
     1.4950E-4       10.9500     337.070      -17.533       -7.8560     -58.760       -0.36596
     1.4950E-4       10.8000     337.070      -17.540       -7.8494     -58.758       -0.36566
     1.4950E-4       10.6500     337.070      -17.546       -7.8428     -58.757       -0.36535
     1.4950E-4       10.5000     337.070      -17.553       -7.8363     -58.756       -0.36505
     1.4950E-4       10.3500     337.070      -17.559       -7.8299     -58.755       -0.36475
     1.4950E-4       10.2000     337.070      -17.565       -7.8235     -58.753       -0.36445
     1.4950E-4       10.0500     337.060      -17.572       -7.8172     -58.752       -0.36416
     1.4950E-4        9.90000    337.060      -17.578       -7.8109     -58.750       -0.36387
     1.4950E-4        9.75000    337.060      -17.584       -7.8047     -58.749       -0.36358
     1.4950E-4        9.60000    337.060      -17.590       -7.7985     -58.747       -0.36329
     1.4950E-4        9.45000    337.060      -17.596       -7.7923     -58.746       -0.3630 
     1.4950E-4        9.30000    337.060      -17.602       -7.7863     -58.744       -0.36272
     1.4950E-4        9.15000    337.050      -17.608       -7.7802     -58.743       -0.36244
     1.4950E-4        9.00000    337.050      -17.614       -7.7743     -58.741       -0.36217
     1.4950E-4        8.85000    337.050      -17.620       -7.7683     -58.739       -0.36189
     1.4950E-4        8.70000    337.050      -17.626       -7.7625     -58.738       -0.36162
     1.4950E-4        8.55000    337.050      -17.631       -7.7566     -58.736       -0.36135
     1.4950E-4        8.40000    337.040      -17.637       -7.7509     -58.734       -0.36108
     1.4950E-4        8.25000    337.040      -17.643       -7.7451     -58.733       -0.36082
     1.4950E-4        8.10000    337.040      -17.648       -7.7395     -58.731       -0.36056
     1.4950E-4        7.95000    337.040      -17.654       -7.7339     -58.729       -0.3603 
     1.4950E-4        7.80000    337.040      -17.659       -7.7283     -58.727       -0.36004
     1.4950E-4        7.65000    337.030      -17.664       -7.7228     -58.725       -0.35979
     1.4950E-4        7.50000    337.030      -17.670       -7.7173     -58.723       -0.35954
     1.4950E-4        7.35000    337.030      -17.675       -7.7119     -58.721       -0.35929
     1.4950E-4        7.20000    337.030      -17.680       -7.7065     -58.719       -0.35904
     1.4950E-4        7.05000    337.030      -17.685       -7.7012     -58.717       -0.3588 
     1.4950E-4        6.90000    337.020      -17.690       -7.6960     -58.715       -0.35856
     1.4950E-4        6.75000    337.020      -17.695       -7.6908     -58.713       -0.35832
     1.4950E-4        6.60000    337.020      -17.700       -7.6856     -58.711       -0.35808
     1.4950E-4        6.45000    337.020      -17.705       -7.6805     -58.709       -0.35785
     1.4950E-4        6.30000    337.010      -17.709       -7.6755     -58.707       -0.35762
     1.4950E-4        6.15000    337.010      -17.714       -7.6705     -58.705       -0.35739
     1.4950E-4        6.00000    337.010      -17.719       -7.6656     -58.702       -0.35716
     1.4950E-4        5.85000    337.010      -17.723       -7.6607     -58.700       -0.35694
     1.4950E-4        5.70000    337.000      -17.728       -7.6558     -58.698       -0.35672
     1.4950E-4        5.55000    337.000      -17.732       -7.6510     -58.696       -0.3565 
     1.4950E-4        5.40000    337.000      -17.737       -7.6463     -58.693       -0.35628
     1.4950E-4        5.25000    337.000      -17.741       -7.6416     -58.691       -0.35607
     1.4950E-4        5.10000    336.990      -17.745       -7.6370     -58.688       -0.35586
     1.4950E-4        4.95000    336.990      -17.750       -7.6324     -58.686       -0.35565
     1.4950E-4        4.80000    336.990      -17.754       -7.6279     -58.684       -0.35545
     1.4950E-4        4.65000    336.990      -17.758       -7.6234     -58.681       -0.35525
     1.4950E-4        4.50000    336.980      -17.762       -7.6190     -58.679       -0.35505
     1.4950E-4        4.35000    336.980      -17.766       -7.6146     -58.676       -0.35485
     1.4950E-4        4.20000    336.980      -17.770       -7.6103     -58.673       -0.35465
     1.4950E-4        4.05000    336.970      -17.774       -7.6061     -58.671       -0.35446
     1.4950E-4        3.90000    336.970      -17.777       -7.6019     -58.668       -0.35427
     1.4950E-4        3.75000    336.970      -17.781       -7.5977     -58.666       -0.35409
     1.4950E-4        3.60000    336.970      -17.785       -7.5936     -58.663       -0.3539 
     1.4950E-4        3.45000    336.960      -17.788       -7.5896     -58.660       -0.35372
     1.4950E-4        3.30000    336.960      -17.792       -7.5856     -58.657       -0.35354
     1.4950E-4        3.15000    336.960      -17.795       -7.5816     -58.655       -0.35337
     1.4950E-4        3.00000    336.950      -17.799       -7.5777     -58.652       -0.35319
     1.4950E-4        2.85000    336.950      -17.802       -7.5739     -58.649       -0.35302
     1.4950E-4        2.70000    336.950      -17.806       -7.5701     -58.646       -0.35285
     1.4950E-4        2.55000    336.950      -17.809       -7.5664     -58.643       -0.35269
     1.4950E-4        2.40000    336.940      -17.812       -7.5627     -58.640       -0.35252
     1.4950E-4        2.25000    336.940      -17.815       -7.5591     -58.637       -0.35236
     1.4950E-4        2.10000    336.940      -17.818       -7.5555     -58.634       -0.3522 
     1.4950E-4        1.95000    336.930      -17.821       -7.5520     -58.631       -0.35205
     1.4950E-4        1.80000    336.930      -17.824       -7.5485     -58.628       -0.3519 
     1.4950E-4        1.65000    336.930      -17.827       -7.5451     -58.625       -0.35175
     1.4950E-4        1.50000    336.920      -17.830       -7.5418     -58.622       -0.3516 
     1.4950E-4        1.35000    336.920      -17.832       -7.5385     -58.619       -0.35145
     1.4950E-4        1.20000    336.920      -17.835       -7.5352     -58.616       -0.35131
     1.4950E-4        1.05000    336.910      -17.838       -7.5320     -58.613       -0.35117
     1.4950E-4        0.90000    336.910      -17.840       -7.5289     -58.609       -0.35103
     1.4950E-4        0.75000    336.910      -17.843       -7.5258     -58.606       -0.3509 
     1.4950E-4        0.60000    336.900      -17.845       -7.5228     -58.603       -0.35077
     1.4950E-4        0.45000    336.900      -17.847       -7.5198     -58.600       -0.35064
     1.4950E-4        0.30000    336.900      -17.850       -7.5168     -58.596       -0.35051
     1.4950E-4        0.15000    336.890      -17.852       -7.5140     -58.593       -0.35039
     1.4950E-4   -1.1102E-15     336.890      -17.854       -7.5111     -58.590       -0.35027
     1.4950E-4       -0.1500     336.890      -17.856       -7.5084     -58.586       -0.35015
     1.4950E-4       -0.3000     336.880      -17.858       -7.5057     -58.583       -0.35003
     1.4950E-4       -0.4500     336.880      -17.860       -7.5030     -58.579       -0.34992
     1.4950E-4       -0.6000     336.880      -17.862       -7.5004     -58.576       -0.34981
     1.4950E-4       -0.7500     336.870      -17.864       -7.4978     -58.572       -0.3497 
     1.4950E-4       -0.9000     336.870      -17.866       -7.4953     -58.569       -0.3496 
     1.4950E-4       -1.0500     336.860      -17.867       -7.4929     -58.565       -0.34949
     1.4950E-4       -1.2000     336.860      -17.869       -7.4905     -58.562       -0.3494 
     1.4950E-4       -1.3500     336.860      -17.871       -7.4882     -58.558       -0.3493 
     1.4950E-4       -1.5000     336.850      -17.872       -7.4859     -58.554       -0.3492 
     1.4950E-4       -1.6500     336.850      -17.874       -7.4837     -58.551       -0.34911
     1.4950E-4       -1.8000     336.850      -17.875       -7.4815     -58.547       -0.34902
     1.4950E-4       -1.9500     336.840      -17.876       -7.4794     -58.543       -0.34894
     1.4950E-4       -2.1000     336.840      -17.878       -7.4773     -58.539       -0.34885
     1.4950E-4       -2.2500     336.830      -17.879       -7.4753     -58.536       -0.34877
     1.4950E-4       -2.4000     336.830      -17.880       -7.4733     -58.532       -0.34869
     1.4950E-4       -2.5500     336.830      -17.881       -7.4714     -58.528       -0.34862
     1.4950E-4       -2.7000     336.820      -17.882       -7.4696     -58.524       -0.34854
     1.4950E-4       -2.8500     336.820      -17.883       -7.4678     -58.520       -0.34847
     1.4950E-4       -3.0000     336.810      -17.884       -7.4660     -58.516       -0.3484 
     1.4950E-4       -3.1500     336.810      -17.885       -7.4643     -58.512       -0.34834
     1.4950E-4       -3.3000     336.810      -17.885       -7.4627     -58.508       -0.34828
     1.4950E-4       -3.4500     336.800      -17.886       -7.4611     -58.504       -0.34822
     1.4950E-4       -3.6000     336.800      -17.887       -7.4596     -58.500       -0.34816
     1.4950E-4       -3.7500     336.790      -17.887       -7.4581     -58.496       -0.3481 
     1.4950E-4       -3.9000     336.790      -17.888       -7.4567     -58.492       -0.34805
     1.4950E-4       -4.0500     336.790      -17.888       -7.4553     -58.488       -0.3480 
     1.4950E-4       -4.2000     336.780      -17.889       -7.4540     -58.484       -0.34796
     1.4950E-4       -4.3500     336.780      -17.889       -7.4528     -58.480       -0.34791
     1.4950E-4       -4.5000     336.770      -17.889       -7.4516     -58.476       -0.34787
     1.4950E-4       -4.6500     336.770      -17.889       -7.4504     -58.472       -0.34783
     1.4950E-4       -4.8000     336.760      -17.890       -7.4493     -58.467       -0.3478 
     1.4950E-4       -4.9500     336.760      -17.890       -7.4483     -58.463       -0.34776
     1.4950E-4       -5.1000     336.760      -17.890       -7.4473     -58.459       -0.34773
     1.4950E-4       -5.2500     336.750      -17.890       -7.4464     -58.454       -0.34771
     1.4950E-4       -5.4000     336.750      -17.889       -7.4455     -58.450       -0.34768
     1.4950E-4       -5.5500     336.740      -17.889       -7.4447     -58.446       -0.34766
